,relative_spearman,relative_pearson,clr_spearman,clr_pearson,spiec
relative_spearman,1.0,0.1,0.1,0.4,0.1
relative_pearson,0.1,1.0,0.0,0.2,0.1
clr_spearman,0.1,0.0,1.0,0.2,0.0
clr_pearson,0.4,0.2,0.2,1.0,0.0
spiec,0.1,0.1,0.0,0.0,1.0
