,relative_spearman,relative_pearson,clr_spearman,clr_pearson,spiec
relative_spearman,1.0,0.46,0.32,0.52,0.34
relative_pearson,0.46,1.0,0.32,0.32,0.4
clr_spearman,0.32,0.32,1.0,0.48,0.38
clr_pearson,0.52,0.32,0.48,1.0,0.34
spiec,0.34,0.4,0.38,0.34,1.0
